XCoord;YCoord;OBJECTID;ID;COUNTRY;GRIDCODE;SHAPE_AREA
4328468.69957917;4571095.99336376;2145;NWS;NO;20kmE432N456;321268387.370335
4341893.61846911;4577167.87350348;2146;NWS;NO;20kmE434N456;16797691.648788
4380670.40972943;4579587.32854395;2147;NWS;NO;20kmE438N456;803259.844812
4330000.00000000;4590000.00000000;2148;NWS;NO;20kmE432N458;399999999.999963
4347794.78172776;4592032.15570211;2149;NWS;NO;20kmE434N458;229725404.373557
4371013.48621224;4595687.42409014;2150;NWS;NO;20kmE436N458;25134867.289405
4386433.51897150;4593708.49285815;2151;NWS;NO;20kmE438N458;91785656.675189
4400339.02411976;4597753.02275374;2152;NWS;NO;20kmE440N458;327514.133508
4330551.38400153;4609477.13554731;2153;NWS;NO;20kmE432N460;373479202.020472
4349981.64230989;4610018.93455122;2154;NWS;NO;20kmE434N460;399217478.841066
4368075.08901816;4611196.56310185;2155;NWS;NO;20kmE436N460;254651258.053539
4388548.14190445;4608769.89122473;2156;NWS;NO;20kmE438N460;96617474.482253
4402883.79348635;4609570.03853804;2157;NWS;NO;20kmE440N460;7484684.087285
4335568.46679142;4625227.82645855;2158;NWS;NO;20kmE432N462;104252789.518690
4350052.37224988;4629748.69074866;2159;NWS;NO;20kmE434N462;388868942.537646
4369789.62458903;4629403.00188312;2160;NWS;NO;20kmE436N462;370155876.285467
4388672.49732788;4629141.45217551;2161;NWS;NO;20kmE438N462;206592021.075143
4403589.80722217;4633827.01660487;2162;NWS;NO;20kmE440N462;37238826.370206
4352569.95611496;4649285.20402319;2163;NWS;NO;20kmE434N464;259813064.581995
4369594.22602073;4653097.10910647;2164;NWS;NO;20kmE436N464;240585007.893503
4388881.05606647;4652389.57541432;2165;NWS;NO;20kmE438N464;266907640.507974
4406702.95175510;4651592.51031487;2166;NWS;NO;20kmE440N464;62471980.657249
4428916.42286063;4650519.69131347;2167;NWS;NO;20kmE442N464;24188570.163998
4356854.15089134;4667318.65327567;2168;NWS;NO;20kmE434N466;103508384.919744
4370000.00000000;4670000.00000000;2169;NWS;NO;20kmE436N466;399999999.999963
4389234.29688957;4670645.13830415;2170;NWS;NO;20kmE438N466;359749780.255338
4408899.75569537;4672444.62436172;2171;NWS;NO;20kmE440N466;254828210.683072
4430698.67130567;4672583.67366186;2172;NWS;NO;20kmE442N466;131945286.029506
4444569.12053309;4675313.51677383;2173;NWS;NO;20kmE444N466;26795158.607437
4359662.56959557;4680810.52132384;2174;NWS;NO;20kmE434N468;1230725.421469
4371446.94060113;4689207.25281475;2175;NWS;NO;20kmE436N468;335758706.653949
4390000.00000000;4690000.00000000;2176;NWS;NO;20kmE438N468;400000000.000075
4409866.20127465;4690096.40770929;2177;NWS;NO;20kmE440N468;394278769.506946
4428400.25169350;4687872.62982196;2178;NWS;NO;20kmE442N468;123621289.951898
4454259.74292013;4687342.59520681;2179;NWS;NO;20kmE444N468;27830535.331489
4460037.71753639;4693329.56020036;2180;NWS;NO;20kmE446N468;12010.447613
4375297.85153057;4708538.25894497;2181;NWS;NO;20kmE436N470;176755625.951760
4390000.00000000;4710000.00000000;2182;NWS;NO;20kmE438N470;399999999.999963
4410000.00000000;4710000.00000000;2183;NWS;NO;20kmE440N470;399999999.999925
4427947.59755737;4710985.63537786;2184;NWS;NO;20kmE442N470;189810997.415803
4442654.62413012;4708675.19877146;2185;NWS;NO;20kmE444N470;37891965.981755
4378457.05044920;4725370.80627230;2186;NWS;NO;20kmE436N472;37117823.575030
4390022.19132389;4729979.46811259;2187;NWS;NO;20kmE438N472;399095093.686050
4410382.50875492;4730636.94489485;2188;NWS;NO;20kmE440N472;289771756.040085
4426857.84151735;4731030.24304193;2189;NWS;NO;20kmE442N472;259336316.693062
4443607.80509209;4731458.26540544;2190;NWS;NO;20kmE444N472;18592437.942546
4391396.37938456;4749561.01332151;2191;NWS;NO;20kmE438N474;342166663.630847
4410000.00000000;4750000.00000000;2192;NWS;NO;20kmE440N474;399999999.999963
4429428.15284944;4749299.99454679;2193;NWS;NO;20kmE442N474;360445135.429579
4441982.61284793;4751588.06503831;2194;NWS;NO;20kmE444N474;42505784.223634
4464387.68155855;4756967.04928051;2195;NWS;NO;20kmE446N474;24058459.315305
4393631.79500908;4769404.04301512;2196;NWS;NO;20kmE438N476;252042699.335562
4410000.00000000;4770000.00000000;2197;NWS;NO;20kmE440N476;400000000.000037
4427962.06879628;4769510.74910319;2198;NWS;NO;20kmE442N476;280551002.517961
4448137.77884912;4769756.39719180;2199;NWS;NO;20kmE444N476;142960054.112258
4462260.76410406;4761176.42785828;2200;NWS;NO;20kmE446N476;9199853.169315
4396389.74288251;4787827.78101701;2201;NWS;NO;20kmE438N478;126502762.654911
4410000.00000000;4790000.00000000;2202;NWS;NO;20kmE440N478;399999999.999925
4428960.74694316;4790601.30852383;2203;NWS;NO;20kmE442N478;349136943.274766
4448788.92665794;4789747.99190708;2204;NWS;NO;20kmE444N478;274555433.355289
4467896.91065422;4793108.25989992;2205;NWS;NO;20kmE446N478;64227879.860223
4489350.79095530;4793528.14502836;2206;NWS;NO;20kmE448N478;111650119.816362
4500464.18299289;4798822.66215387;2207;NWS;NO;20kmE450N478;1828539.261064
4399266.53723160;4801777.56137680;2208;NWS;NO;20kmE438N480;5866987.897950
4410996.29956896;4809362.11822463;2209;NWS;NO;20kmE440N480;355616171.407437
4430000.00000000;4810000.00000000;2210;NWS;NO;20kmE442N480;400000000.000037
4449132.55048488;4809762.52169708;2211;NWS;NO;20kmE444N480;338878386.558801
4468214.54673979;4806318.27519165;2212;NWS;NO;20kmE446N480;75552512.901838
4492703.56418462;4801506.34768291;2213;NWS;NO;20kmE448N480;18092705.865867
4503724.98769803;4803980.26424009;2214;NWS;NO;20kmE450N480;28765427.794595
4414536.69845440;4828500.54043500;2215;NWS;NO;20kmE440N482;203881209.124621
4430000.00000000;4830000.00000000;2216;NWS;NO;20kmE442N482;400000000.000075
4449562.88667488;4830224.00017684;2217;NWS;NO;20kmE444N482;379119803.531185
4466549.14755189;4831210.53201771;2218;NWS;NO;20kmE446N482;134404849.040459
4483379.17795687;4832438.32161110;2219;NWS;NO;20kmE448N482;15200687.213716
4418668.04416736;4841561.47640363;2220;NWS;NO;20kmE440N484;9359179.215070
4431527.02472125;4849242.84440657;2221;NWS;NO;20kmE442N484;331151378.450788
4450000.00000000;4850000.00000000;2222;NWS;NO;20kmE444N484;400000000.000037
4468489.81448464;4851282.49897385;2223;NWS;NO;20kmE446N484;251536337.360005
4487283.55722656;4854081.30591198;2224;NWS;NO;20kmE448N484;46597444.731321
4430479.33358261;4870369.28242425;2225;NWS;NO;20kmE442N486;378901054.312879
4450000.00000000;4870000.00000000;2226;NWS;NO;20kmE444N486;399999999.999925
4468578.73056212;4869524.25174366;2227;NWS;NO;20kmE446N486;326310155.764119
4483071.56314393;4863757.36149498;2228;NWS;NO;20kmE448N486;50194319.655782
4448907.85982618;4888007.98409370;2229;NWS;NO;20kmE444N488;309246134.207587
4464053.17619669;4883898.78744707;2230;NWS;NO;20kmE446N488;70491668.945936
4399793.98635485;4919470.23491217;2231;NWS;NO;20kmE438N490;486669.508600
4410782.04129604;4908792.25160879;2232;NWS;NO;20kmE440N490;247453662.362879
4399875.18594358;4920049.18619695;2233;NWS;NO;20kmE438N492;27626.079427
4401025.71819204;4920201.82493005;2234;NWS;NO;20kmE440N492;732191.857658
4159973.39388424;4440017.64170285;2235;NWS;NO;100kmE41N44;2112.197347
4297599.37646622;4582831.98672699;2236;NWS;NO;100kmE42N45;30593402.928763
4311100.84881943;4588994.41823867;2237;NWS;NO;100kmE43N45;343907654.220226
4316583.92162882;4604029.90659277;2238;NWS;NO;100kmE43N46;61949145.372451
4425543.35720510;4890016.62082417;2239;NWS;NO;100kmE44N48;584459833.950465
4427054.82909352;4903609.33117966;2240;NWS;NO;100kmE44N49;114584465.764862
4476629.70296302;4877447.07718116;2241;NWS;NO;20kmE446N486;37249745.297463
4486303.84432670;4877593.22398763;2242;NWS;NO;20kmE448N486;50799275.372644
4503845.12420608;4879310.31802616;2243;NWS;NO;20kmE450N486;395788.719276
4453721.49576019;4896787.84548655;2244;NWS;NO;20kmE444N488;90753865.792339
4471272.20314425;4891305.23150682;2245;NWS;NO;20kmE446N488;329508331.054027
4489039.07902026;4890233.09068804;2246;NWS;NO;20kmE448N488;356536115.729918
4506675.53414922;4891646.70335985;2247;NWS;NO;20kmE450N488;83020839.463271
4528059.78164830;4892366.05970664;2248;NWS;NO;20kmE452N488;13064772.209948
4558202.41642027;4898195.05772468;2249;NWS;NO;20kmE454N488;8427913.041587
4560226.59834942;4896484.39270097;2250;NWS;NO;20kmE456N488;365942.419050
4399459.34040612;4919969.72006667;2251;NWS;NO;20kmE438N490;12178.834897
4414035.22577961;4916940.01335242;2252;NWS;NO;20kmE440N490;82134182.269382
4470000.00000000;4910000.00000000;2253;NWS;NO;20kmE446N490;400000000.000000
4490000.00000000;4910000.00000000;2254;NWS;NO;20kmE448N490;399999999.999963
4507893.61417143;4910358.54319704;2255;NWS;NO;20kmE450N490;282332672.015094
4530599.94620149;4910785.36275686;2256;NWS;NO;20kmE452N490;145909864.593217
4549692.78626904;4911074.88237551;2257;NWS;NO;20kmE454N490;140800813.068026
4560244.42620828;4908026.33138821;2258;NWS;NO;20kmE456N490;829238.538641
4399243.23155215;4925354.33422539;2259;NWS;NO;20kmE438N492;15532558.791059
4410689.59013621;4929325.77309897;2260;NWS;NO;20kmE440N492;364819134.565715
4430000.00000000;4930000.00000000;2261;NWS;NO;20kmE442N492;400000000.000149
4470000.00000000;4930000.00000000;2262;NWS;NO;20kmE446N492;400000000.000075
4490000.00000000;4930000.00000000;2263;NWS;NO;20kmE448N492;400000000.000037
4509951.84924832;4930431.58336365;2264;NWS;NO;20kmE450N492;362030923.774010
4526463.47413803;4933542.42966654;2265;NWS;NO;20kmE452N492;73021077.095360
4551232.91971474;4934757.88499811;2266;NWS;NO;20kmE454N492;36886385.128847
4562552.34296851;4930074.55028313;2267;NWS;NO;20kmE456N492;22844524.867677
4416292.79354666;4942984.72282634;2268;NWS;NO;20kmE440N494;49792426.754474
4431269.43890225;4948682.16468864;2269;NWS;NO;20kmE442N494;329250555.705047
4450000.00000000;4950000.00000000;2270;NWS;NO;20kmE444N494;399999999.999925
4490000.00000000;4950000.00000000;2271;NWS;NO;20kmE448N494;399999999.999925
4510000.00000000;4950000.00000000;2272;NWS;NO;20kmE450N494;400000000.000037
